Product Code,Description,Category,Make,Manufacturer,image
01-SER-SGMC,Glass Mixing Coils,Phoenix,Parts,Cambridge Glassblowing,01-SER-SGMC.png
1SI/AQ2/001,"P60R-8 Differential pH sensor, 1 1/2""NPT Process connections",Instrument,Other,Water Analytics Inc,1SIAQ2001.png
1SI/AQ2/010,"R60R-8 Differential Redox sensor, 1 1/2""NPT Process conns.",pH,Water Analytics,Water Analytics Inc,1SIAQ2010.png
1SI/AQ2/014,"C35-17K SALTBRIDGE KIT4, 6, 7 & AM60, 64, 20 & 24 Probes",pH,Water Analytics,Water Analytics Inc,1SIAQ2014.png
1SI/AQ2/034,"1"" Differential pH Probe - analogue version (4-20mA)",pH,Water Analytics,Water Analytics Inc,1SIAQ2034.png
1SI/AQ2/035,"Differential pH Sensor - Ryton with 1"" NPT threaded ends",pH,Water Analytics,Water Analytics Inc,1SIAQ2035.png
22130,240V Compton Air Compressor,Air Compressors,Bambi,Bambi Air Compressors Limited,22130.png
2KE/ABL/001,30m 12.5mm ID Reinforced PVC Hose CLEAR,Pipework/Hose,,Abbey Extrusion Limited,2KEABL001.png
2KE/ABL/002,9.5mm Reinforced Hose for Samplers 30m (Black),Pipework/Hose,5800,Abbey Extrusion Limited,2KEABL002.png
2KE/AWE/000,Model PS183-40T pH Electrode,pH,AWE,Automated Water & Effluent Ltd,2KEAWE000.png
2KE/AWE/001,pH dip Tube 3000mm and flange,pH,AWE,Automated Water & Effluent Ltd,2KEAWE001.png
2KE/CON/000,Twinax 100ohm Cable 30m Black PVC,Cable /Cable Parts,,Contronik Ltd,2KECON000.png
2KE/CRI/000,CFS Sensor Mountain Bracket/Datum Reference System,Flow,Parts,Critical Flow Systems Ltd,2KECRI000.png
2KE/GXE/000,Sample Chamber - (for use with WS312E),Samplers,GXE,GX Environmental Ltd,2KEGXE000.png
2KE/GXE/001,"WS98 Wall mounted Sampler, with 2 x 10L bottles - DO NOT USE",Samplers,GXE,GX Environmental Ltd,2KEGXE001.png
2KE/GXE/002,WS98 Cover plate for peristaltic pump,Samplers,GXE,GX Environmental Ltd,2KEGXE002.png
2KE/GXE/003,WS98 Liquid Detector for peristaltic pump,Samplers,GXE,GX Environmental Ltd,2KEGXE003.png
2KE/GXE/004,WS98 Silicone hose 9.5 x 2.4mm for peristaltic pump,Samplers,GXE,GX Environmental Ltd,2KEGXE004.png
2KE/GXE/005,Silicone metering hose for WS312e Sampler per M,Samplers,GXE,GX Environmental Ltd,2KEGXE005.png
2KE/GXE/006,"Peristaltic Pump, 24V DC inc motor and cartridge",Samplers,GXE,GX Environmental Ltd,2KEGXE006.png
2KE/GXE/007,Ventilation Motor for refridgeration unit on WS312 Watersam,Samplers,GXE,GX Environmental Ltd,2KEGXE007.png
2KE/GXE/008,Refrigeration unit / evap plate - WS312e Watersam Sampler,Samplers,GXE,GX Environmental Ltd,2KEGXE008.png
2KE/HAC/000,"Sigma Disiccant Refill, 700g",Samplers,SIGMA,Hach Lange UK Limited,2KEHAC000.png
2KE/HAC/001,BM900959 Pinch Vavle replacement kit (1027),Samplers,SIGMA,Hach Lange UK Limited,2KEHAC001.png
2KE/HAC/002,BM900958 Pinch Vavle replacement kit (4011),Samplers,SIGMA,Hach Lange UK Limited,2KEHAC002.png
2KE/HAC/003,6262000 Replacement Pumps SD900,Samplers,SIGMA,Hach Lange UK Limited,2KEHAC003.png
2KE/HAC/004,46600-15 Tubing Silicone 15ft,Samplers,SIGMA,Hach Lange UK Limited,2KEHAC004.png
2KE/HAC/005,BM80044 plastic chambers (1027),Samplers,SIGMA,Hach Lange UK Limited,2KEHAC005.png
2KE/HAC/006,Membrane pump BN 1027 -new version,Samplers,SIGMA,Hach Lange UK Limited,2KEHAC006.png
2KE/HAC/007,12V Battery for use with Buhler 2000 Sampler - A512/10 S,Samplers,BUHLER,Hach Lange UK Limited,2KEHAC007.png
2KE/HAC/008,B�hler 2000 Portable Automatic Water Sampler,Samplers,BUHLER,Hach Lange UK Limited,2KEHAC008.png
2KE/HAC/009,"Charger IP65 for B�hler 1029 and 2000 , GB plug",Samplers,BUHLER,Hach Lange UK Limited,2KEHAC009.png
2KE/HAC/010,"External battery cable, 10',L2,5m",Samplers,BUHLER,Hach Lange UK Limited,2KEHAC010.png
2KE/HAC/011,PTFE Suction Hose ID=10mm 30m,Samplers,,,2KEHAC011.png
2KE/HAC/012,PTFE Hose 12 x 10ID by 1m,Hach,,,2KEHAC012.png
2KE/HYC/000,RWTK15-EX Transducer ex gases/dusts Kynar 10m Lead,Ultrasonics,Hycontrol,Hycontrol Limited,2KEHYC000.png
2KE/HYC/001,ISOLATION KIT M32-M20 POLYPROP,Ultrasonics,Hycontrol,Hycontrol Limited,2KEHYC001.png
2KE/LTH/000,10M pH Probe   S410-GT17H-N33FF 138/042,LTH,Parts,LTH Electronics,2KELTH000.png
2KE/LTH/001,"S400-RTPB0-M33FF 0.75"" Redox Electrode, 10M Cable",pH,LTH,LTH Electronics,2KELTH001.png
2KE/LTH/002,S410-GT17H-N70FF pH Sensor 20m Cable PT1000 TIC Flat Bulb,LTH,LTH,LTH Electronics,2KELTH002.png
2KE/LTH/003,"Screened Sensor Cable, 10/x/313 REV.A5341 30m",pH,LTH,LTH Electronics,2KELTH003.png
2KE/LTH/004,IP65 Double Entry Junction Box,pH,LTH,LTH Electronics,2KELTH004.png
2KE/SIR/000,Genie K Chamber,Sampler,Sirco,Sirco Controls Ltd,2KESIR000.png
2KE/SIR/001,Genie K Pinch Valve Assembley,Sampler,Sirco,Sirco Controls Ltd,2KESIR001.png
2KE/SIR/002,Genie K Pump Diaphragms - Thin 2 per set,Sampler,Sirco,Sirco Controls Ltd,2KESIR002.png
2KE/SIR/003,Genie K Pump Diaphragms - Thick -2 per pack,Sampler,Sirco,Sirco Controls Ltd,2KESIR003.png
